concept,ticket_id,title,type,status
Business Object,T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active
Business Object,T1319820,Mail Merge - missing crucial XAF Blazor details,InsuffInfo,Closed
Business Object,T1319293,Incorrect info about Standalone Model Editor in Blazor,InvalidInfo,Closed
Business Object,T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .,UnusableFeedback,Closed
Business Object,T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed
Business Object,T1317879,You have a new 'GitHub Examples  User Feedback' response.,PositiveFeedback,Closed
Business Object,T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed
Business Object,T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffInfo,Archived
Business Object,T1316089,"Incorrect code for the ""Type Properties in XPO"" help topic",InvalidCode,Closed
Business Object,T1315984,'Update Database Schema and Migrations in EF Core' has invalid info about Automatic Updates,InvalidInfo,Closed
Business Object,T1315692,ObjectCaptionFormatAttribute Class - old info was lost,InsuffInfo,Archived
Business Object,T1315302,Need to rewrite code in the TreeList - Flat data source help topic,InsuffCode,Closed
Business Object,T1314393,You have a new 'GitHub Examples  User Feedback' response.,UnusableFeedback,Closed
Business Object,T1314301,Detrimental information - Calculate a Property Value Based on Values from a Detail Collection,HardToUnderstand,Closed
Business Object,T1313736,Incorrect class name for TagBoxListPropertyEditor,InvalidInfo,Closed
Business Object,T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed
Business Object,T1309586,Improve BlazorControlViewItem help topic,HardToUnderstand,Archived
Business Object,T1309299,Readme of the 'sequential generator' example is outdated,NewFeatureIssue,Archived
Business Object,T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed
Business Object,T1308472,audit-trail-module-xpo doesn't reflect changes from BC about non-persistent properties,InvalidInfo,Closed
