source_doc,source_section,source_is_api,source_concepts,target_doc,target_section,target_is_api,target_concepts,similarity,priority_score,is_cross_corpus,max_tickets,pair_type,similarity_band
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/FilterController/FullTextSearchTargetPropertiesMode1131563,FullTextSearchTargetPropertiesMode1131563::1,True,"['Criteria' 'List View' 'Lookup Property Editors' 'Property Editor Types'
 'Property Editors' 'Reference Property' 'View Types' 'Views']",data/raw_md/articles/filtering/in-list-view/how-to-make-the-full-text-search-action-search-within-required-properties,how-to-make-the-full-text-search-action-search-within-required-properties::4,False,['List View' 'List View Data Access Modes' 'View Types' 'Views'],0.7044375538825989,2.1133126616477966,True,2772,ac,0.70-0.75
data/raw_md/articles/validation/declare-validation-rules,declare-validation-rules::7,False,"['Application Model' 'Context Menus' 'Custom Validation Rules'
 'Error Styling' 'Model Editor' 'Model Nodes' 'Validation']",data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleIsReferencedAttribute/#ctor1130788,#ctor1130788::1,True,['Application Model' 'Validation'],0.7044295072555542,2.1132885217666626,True,484,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleIsReferencedAttribute/#ctor1130788,#ctor1130788::1,True,['Application Model' 'Validation'],data/raw_md/articles/validation/declare-validation-rules,declare-validation-rules::7,False,"['Application Model' 'Context Menus' 'Custom Validation Rules'
 'Error Styling' 'Model Editor' 'Model Nodes' 'Validation']",0.7044295072555542,2.1132885217666626,True,484,ac,0.70-0.75
data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::13,False,"['.NET Runtime' 'Action State Management' 'Actions' 'Blazor' 'WinForms'
 'Windows']",data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ExportController/CustomGetDefaultFileName1136177,CustomGetDefaultFileName1136177::1,True,['Action State Management' 'Actions' 'List View' 'View Types' 'Views'],0.7044290900230408,2.1132872700691223,True,2772,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ExportController/CustomGetDefaultFileName1136177,CustomGetDefaultFileName1136177::1,True,['Action State Management' 'Actions' 'List View' 'View Types' 'Views'],data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::13,False,"['.NET Runtime' 'Action State Management' 'Actions' 'Blazor' 'WinForms'
 'Windows']",0.7044290900230408,2.1132872700691223,True,2772,ac,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp/PropertyCollectionSource/#ctor1137759,#ctor1137759::1,True,"['Collection Property' 'Collection Property Editors' 'List View'
 'Property Editor Types' 'Property Editors' 'View Types' 'Views']",data/raw_md/articles/data-manipulation-and-business-logic/create-read-update-and-delete-data/load-objects,load-objects::2,False,[],0.7044228911399841,2.1132686734199524,True,2772,ac,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Security/SecuredXPObjectSpace/#ctor_1,#ctor_1::1,True,['XPO'],data/raw_md/articles/data-security-and-safety/security-system/security-tiers/2-tier-security-integrated-mode-and-ui-level/change-the-client-side-security-mode-from-ui-level-to-integrated-in-xpo-applications,change-the-client-side-security-mode-from-ui-level-to-integrated-in-xpo-applications::3,False,['Entity Framework Core' 'XPO'],0.7043603658676147,2.1130810976028442,True,470,ac,0.70-0.75
data/raw_md/articles/data-security-and-safety/security-system/security-tiers/2-tier-security-integrated-mode-and-ui-level/change-the-client-side-security-mode-from-ui-level-to-integrated-in-xpo-applications,change-the-client-side-security-mode-from-ui-level-to-integrated-in-xpo-applications::3,False,['Entity Framework Core' 'XPO'],data/raw_md/apidoc/DevExpress.ExpressApp.Security/SecuredXPObjectSpace/#ctor_1,#ctor_1::1,True,['XPO'],0.7043603658676147,2.1130810976028442,True,470,ca,0.70-0.75
data/raw_md/articles/data-security-and-safety/security-system/authorization-and-data-protection/check-access-permissions/determine-if-a-current-user-has-particular-permissions,determine-if-a-current-user-has-particular-permissions::9,False,['Application Model' 'Criteria'],data/raw_md/apidoc/DevExpress.Persistent.Base/IPermissionPolicyRole/CanEditModel1169798,CanEditModel1169798::1,True,['Application Model' 'Model Editor' 'WinForms' 'Windows'],0.7043147683143616,2.1129443049430847,True,484,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.Persistent.Base/IPermissionPolicyRole/CanEditModel1169798,CanEditModel1169798::1,True,['Application Model' 'Model Editor' 'WinForms' 'Windows'],data/raw_md/articles/data-security-and-safety/security-system/authorization-and-data-protection/check-access-permissions/determine-if-a-current-user-has-particular-permissions,determine-if-a-current-user-has-particular-permissions::9,False,['Application Model' 'Criteria'],0.7043147683143616,2.1129443049430847,True,484,ac,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp/DatabaseVersionMismatchEventArgs/CompatibilityError1130666,CompatibilityError1130666::1,True,[],data/raw_md/articles/business-model-design-orm/create-and-update-the-applications-database,create-and-update-the-applications-database::5,False,"['Database Connection' 'Database Update' 'Entity Framework Core'
 'Middle Tier' 'Web API Service' 'XAF Application']",0.7042629718780518,2.1127889156341553,True,470,ac,0.70-0.75
data/raw_md/articles/business-model-design-orm/create-and-update-the-applications-database,create-and-update-the-applications-database::5,False,"['Database Connection' 'Database Update' 'Entity Framework Core'
 'Middle Tier' 'Web API Service' 'XAF Application']",data/raw_md/apidoc/DevExpress.ExpressApp/DatabaseVersionMismatchEventArgs/CompatibilityError1130666,CompatibilityError1130666::1,True,[],0.7042629718780518,2.1127889156341553,True,470,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleUniqueValueProperties/RuleUniqueValueProperties,RuleUniqueValueProperties::1,True,['Application Model' 'Custom Validation Rules' 'Validation'],data/raw_md/articles/validation/implement-custom-rules,implement-custom-rules::5,False,['Application Model' 'Custom Validation Rules' 'Model Editor' 'Validation'],0.7042426466941833,2.11272794008255,True,484,ac,0.70-0.75
data/raw_md/articles/validation/implement-custom-rules,implement-custom-rules::5,False,['Application Model' 'Custom Validation Rules' 'Model Editor' 'Validation'],data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleUniqueValueProperties/RuleUniqueValueProperties,RuleUniqueValueProperties::1,True,['Application Model' 'Custom Validation Rules' 'Validation'],0.7042426466941833,2.11272794008255,True,484,ca,0.70-0.75
data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,data-filtering-in-reports::5,False,"['Application Model' 'Criteria' 'Detail View' 'Model Editor'
 'Popup Windows' 'Report Parameters' 'Reports' 'Reports V2' 'View Types'
 'Views' 'Windows' 'XPO']",data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/ReportServiceController/ShowPreview1137463,ShowPreview1137463::1,True,[],0.7042238116264343,2.112671434879303,True,2772,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/ReportServiceController/ShowPreview1137463,ShowPreview1137463::1,True,[],data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,data-filtering-in-reports::5,False,"['Application Model' 'Criteria' 'Detail View' 'Model Editor'
 'Popup Windows' 'Report Parameters' 'Reports' 'Reports V2' 'View Types'
 'Views' 'Windows' 'XPO']",0.7042238116264343,2.112671434879303,True,2772,ac,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/LinkUnlinkController/LinkAction1130881,LinkAction1130881::1,True,"['.NET Runtime' 'Action Containers' 'Actions' 'Application Model' 'Blazor'
 'Collection Property' 'Collection Property Editors' 'Criteria'
 'List View' 'Lookup Property Editors' 'Model Editor'
 'Property Editor Types' 'Property Editors' 'Reference Property'
 'View Types' 'Views' 'WinForms' 'Windows']",data/raw_md/articles/ui-construction/controllers-and-actions/built-in-controllers-and-actions/built-in-controllers-and-actions-in-the-system-module,built-in-controllers-and-actions-in-the-system-module::15,False,"['.NET Runtime' 'Actions' 'Application Model' 'Blazor' 'Built-in Actions'
 'Built-in Controllers' 'Controllers' 'WinForms' 'Windows']",0.7042211890220642,2.1126635670661926,True,2772,ac,0.70-0.75
