doc_id,title,doc_type,word_count,uid
data/raw_md/apidoc/DevExpress.Persistent.Base/EmptyEntriesMode/RemoveDelimiterWhenEntryIsEmpty1137921,RemoveDelimiterWhenEntryIsEmpty1137921,Field,0,DevExpress.Persistent.Base.EmptyEntriesMode.RemoveDelimiterWhenEntryIsEmpty
data/raw_md/apidoc/DevExpress.Persistent.Base/ExpandObjectMembers/Always1132093,Always1132093,Field,0,DevExpress.Persistent.Base.ExpandObjectMembers.Always
data/raw_md/apidoc/DevExpress.Persistent.Base/ExpandObjectMembers/InDetailView1132094,InDetailView1132094,Field,0,DevExpress.Persistent.Base.ExpandObjectMembers.InDetailView
data/raw_md/apidoc/DevExpress.Persistent.Base/ExpandObjectMembers/InListView1132095,InListView1132095,Field,0,DevExpress.Persistent.Base.ExpandObjectMembers.InListView
data/raw_md/apidoc/DevExpress.Persistent.Base/ExpandObjectMembers/Never1132096,Never1132096,Field,0,DevExpress.Persistent.Base.ExpandObjectMembers.Never
data/raw_md/apidoc/DevExpress.Persistent.Base/ExpandObjectMembersAttribute/AggregatedObjectMembersDefaultExpandingMode1131041,AggregatedObjectMembersDefaultExpandingMode1131041,Field,0,DevExpress.Persistent.Base.ExpandObjectMembersAttribute.AggregatedObjectMembersDefaultExpandingMode
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/All,All,Field,0,DevExpress.Persistent.Base.HideInUI.All
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/DashboardCustomizationForm,DashboardCustomizationForm,Field,0,DevExpress.Persistent.Base.HideInUI.DashboardCustomizationForm
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/DetailView,DetailView,Field,0,DevExpress.Persistent.Base.HideInUI.DetailView
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/DetailViewCustomizationForm,DetailViewCustomizationForm,Field,0,DevExpress.Persistent.Base.HideInUI.DetailViewCustomizationForm
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/DetailViewEditor,DetailViewEditor,Field,0,DevExpress.Persistent.Base.HideInUI.DetailViewEditor
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/FilterEditor,FilterEditor,Field,0,DevExpress.Persistent.Base.HideInUI.FilterEditor
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/ListView,ListView,Field,0,DevExpress.Persistent.Base.HideInUI.ListView
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/ListViewColumn,ListViewColumn,Field,0,DevExpress.Persistent.Base.HideInUI.ListViewColumn
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/ListViewCustomizationForm,ListViewCustomizationForm,Field,0,DevExpress.Persistent.Base.HideInUI.ListViewCustomizationForm
data/raw_md/apidoc/DevExpress.Persistent.Base/HideInUI/ReportCustomizationForm,ReportCustomizationForm,Field,0,DevExpress.Persistent.Base.HideInUI.ReportCustomizationForm
data/raw_md/apidoc/DevExpress.Persistent.Base/ImageEditorMode/DropDownPictureEdit1131739,DropDownPictureEdit1131739,Field,0,DevExpress.Persistent.Base.ImageEditorMode.DropDownPictureEdit
data/raw_md/apidoc/DevExpress.Persistent.Base/ImageEditorMode/PictureEdit1131740,PictureEdit1131740,Field,0,DevExpress.Persistent.Base.ImageEditorMode.PictureEdit
data/raw_md/apidoc/DevExpress.Persistent.Base/ImageEditorMode/PopupPictureEdit1131741,PopupPictureEdit1131741,Field,0,DevExpress.Persistent.Base.ImageEditorMode.PopupPictureEdit
data/raw_md/apidoc/DevExpress.Persistent.Base/ImageSizeMode/AutoSize1132927,AutoSize1132927,Field,0,DevExpress.Persistent.Base.ImageSizeMode.AutoSize
data/raw_md/apidoc/DevExpress.Persistent.Base/ImageSizeMode/CenterImage1132928,CenterImage1132928,Field,0,DevExpress.Persistent.Base.ImageSizeMode.CenterImage
data/raw_md/apidoc/DevExpress.Persistent.Base/ImageSizeMode/Normal1132929,Normal1132929,Field,0,DevExpress.Persistent.Base.ImageSizeMode.Normal
data/raw_md/apidoc/DevExpress.Persistent.Base/ImageSizeMode/StretchImage1132930,StretchImage1132930,Field,0,DevExpress.Persistent.Base.ImageSizeMode.StretchImage
data/raw_md/apidoc/DevExpress.Persistent.Base/ImageSizeMode/Zoom1131743,Zoom1131743,Field,0,DevExpress.Persistent.Base.ImageSizeMode.Zoom
data/raw_md/apidoc/DevExpress.Persistent.Base/LookupEditorMode/AllItems1132097,AllItems1132097,Field,0,DevExpress.Persistent.Base.LookupEditorMode.AllItems
data/raw_md/apidoc/DevExpress.Persistent.Base/LookupEditorMode/AllItemsWithSearch1132098,AllItemsWithSearch1132098,Field,0,DevExpress.Persistent.Base.LookupEditorMode.AllItemsWithSearch
data/raw_md/apidoc/DevExpress.Persistent.Base/LookupEditorMode/Auto1132099,Auto1132099,Field,32,DevExpress.Persistent.Base.LookupEditorMode.Auto
data/raw_md/apidoc/DevExpress.Persistent.Base/LookupEditorMode/Search1132100,Search1132100,Field,0,DevExpress.Persistent.Base.LookupEditorMode.Search
data/raw_md/apidoc/DevExpress.Persistent.Base/MethodActionSelectionDependencyType/RequireMultipleObjects1132071,RequireMultipleObjects1132071,Field,0,DevExpress.Persistent.Base.MethodActionSelectionDependencyType.RequireMultipleObjects
data/raw_md/apidoc/DevExpress.Persistent.Base/MethodActionSelectionDependencyType/RequireSingleObject1132072,RequireSingleObject1132072,Field,0,DevExpress.Persistent.Base.MethodActionSelectionDependencyType.RequireSingleObject
data/raw_md/apidoc/DevExpress.Persistent.Base/SecurityPermissionPolicy/AllowAllByDefault1169837,AllowAllByDefault1169837,Field,0,DevExpress.Persistent.Base.SecurityPermissionPolicy.AllowAllByDefault
data/raw_md/apidoc/DevExpress.Persistent.Base/SecurityPermissionPolicy/DenyAllByDefault1169838,DenyAllByDefault1169838,Field,0,DevExpress.Persistent.Base.SecurityPermissionPolicy.DenyAllByDefault
data/raw_md/apidoc/DevExpress.Persistent.Base/SecurityPermissionPolicy/ReadOnlyAllByDefault1169839,ReadOnlyAllByDefault1169839,Field,0,DevExpress.Persistent.Base.SecurityPermissionPolicy.ReadOnlyAllByDefault
data/raw_md/apidoc/DevExpress.Persistent.Base/SecurityPermissionState/Allow1169835,Allow1169835,Field,0,DevExpress.Persistent.Base.SecurityPermissionState.Allow
data/raw_md/apidoc/DevExpress.Persistent.Base/SecurityPermissionState/Deny1169836,Deny1169836,Field,0,DevExpress.Persistent.Base.SecurityPermissionState.Deny
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/Application,Application,Field,0,DevExpress.Persistent.Base.ToolTipIconType.Application
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/Asterisk,Asterisk,Field,0,DevExpress.Persistent.Base.ToolTipIconType.Asterisk
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/Error,Error,Field,0,DevExpress.Persistent.Base.ToolTipIconType.Error
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/Exclamation,Exclamation,Field,0,DevExpress.Persistent.Base.ToolTipIconType.Exclamation
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/Hand,Hand,Field,0,DevExpress.Persistent.Base.ToolTipIconType.Hand
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/Information,Information,Field,0,DevExpress.Persistent.Base.ToolTipIconType.Information
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/None,None,Field,0,DevExpress.Persistent.Base.ToolTipIconType.None
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/Question,Question,Field,0,DevExpress.Persistent.Base.ToolTipIconType.Question
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/Warning,Warning,Field,0,DevExpress.Persistent.Base.ToolTipIconType.Warning
data/raw_md/apidoc/DevExpress.Persistent.Base/ToolTipIconType/WindLogo,WindLogo,Field,0,DevExpress.Persistent.Base.ToolTipIconType.WindLogo
data/raw_md/apidoc/DevExpress.Persistent.AuditTrail/CustomAuditOperationTypeFilterEventArgs/AuditObject,C#,Field,11,DevExpress.Persistent.AuditTrail.CustomAuditOperationTypeFilterEventArgs.AuditObject
data/raw_md/apidoc/DevExpress.Persistent.AuditTrail/CustomAuditOperationTypeFilterEventArgs/AuditOperationType,AuditOperationType,Field,13,DevExpress.Persistent.AuditTrail.CustomAuditOperationTypeFilterEventArgs.AuditOperationType
data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPInstantFeedbackSourceMappingMode/AllProperties1195639,AllProperties1195639,Field,0,DevExpress.ExpressApp.Xpo.XPInstantFeedbackSourceMappingMode.AllProperties
data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPInstantFeedbackSourceMappingMode/RequiredProperties1195640,RequiredProperties1195640,Field,0,DevExpress.ExpressApp.Xpo.XPInstantFeedbackSourceMappingMode.RequiredProperties
data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpace/InstantFeedbackSourceDismissSession1182652,InstantFeedbackSourceDismissSession1182652,Field,0,DevExpress.ExpressApp.Xpo.XPObjectSpace.InstantFeedbackSourceDismissSession
data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpace/InstantFeedbackSourceResolveSession1182653,InstantFeedbackSourceResolveSession1182653,Field,0,DevExpress.ExpressApp.Xpo.XPObjectSpace.InstantFeedbackSourceResolveSession
data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpace/TrackPropertyModifications,TrackPropertyModifications,Field,14,DevExpress.ExpressApp.Xpo.XPObjectSpace.TrackPropertyModifications
data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XpoDataView/UseServerSideSorting,C#,Field,56,DevExpress.ExpressApp.Xpo.XpoDataView.UseServerSideSorting
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Utils/DXSplashScreen/DefaultSplashScreenType,DefaultSplashScreenType,Field,17,DevExpress.ExpressApp.Win.Utils.DXSplashScreen.DefaultSplashScreenType
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Utils/DXSplashScreen/DefaultUpdateDelay,DefaultUpdateDelay,Field,124,DevExpress.ExpressApp.Win.Utils.DXSplashScreen.DefaultUpdateDelay
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Templates.Navigation/RootGroupsStyle/OutlookAnimated1168311,OutlookAnimated1168311,Field,0,DevExpress.ExpressApp.Win.Templates.Navigation.RootGroupsStyle.OutlookAnimated
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Templates.Navigation/RootGroupsStyle/OutlookSimple1168312,OutlookSimple1168312,Field,0,DevExpress.ExpressApp.Win.Templates.Navigation.RootGroupsStyle.OutlookSimple
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Templates.Navigation/RootGroupsStyle/Standard1168313,Standard1168313,Field,0,DevExpress.ExpressApp.Win.Templates.Navigation.RootGroupsStyle.Standard
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Templates/MdiMode/Standard1134317,Standard1134317,Field,0,DevExpress.ExpressApp.Win.Templates.MdiMode.Standard
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Templates/MdiMode/Tabbed1134318,Tabbed1134318,Field,0,DevExpress.ExpressApp.Win.Templates.MdiMode.Tabbed
data/raw_md/apidoc/DevExpress.ExpressApp.Win.SystemModule/PrintingController/PrintingSettingsNodeName1135827,PrintingSettingsNodeName1135827,Field,0,DevExpress.ExpressApp.Win.SystemModule.PrintingController.PrintingSettingsNodeName
data/raw_md/apidoc/DevExpress.ExpressApp.Win.SystemModule/PrintingSettingsStorage/Application1136909,Application1136909,Field,0,DevExpress.ExpressApp.Win.SystemModule.PrintingSettingsStorage.Application
data/raw_md/apidoc/DevExpress.ExpressApp.Win.SystemModule/PrintingSettingsStorage/View1136910,View1136910,Field,0,DevExpress.ExpressApp.Win.SystemModule.PrintingSettingsStorage.View
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/AppearanceFocusedCellMode/Disabled1135232,Disabled1135232,Field,0,DevExpress.ExpressApp.Win.Editors.AppearanceFocusedCellMode.Disabled
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/AppearanceFocusedCellMode/Enabled1135233,Enabled1135233,Field,0,DevExpress.ExpressApp.Win.Editors.AppearanceFocusedCellMode.Enabled
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/AppearanceFocusedCellMode/Smart1135234,Smart1135234,Field,0,DevExpress.ExpressApp.Win.Editors.AppearanceFocusedCellMode.Smart
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/DXPropertyEditor/DefaultHideClearButtonOnLostFocus,DefaultHideClearButtonOnLostFocus,Field,0,DevExpress.ExpressApp.Win.Editors.DXPropertyEditor.DefaultHideClearButtonOnLostFocus
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/DXPropertyEditor/RepositoryItemsTypesWithMandatoryButtons1131167,RepositoryItemsTypesWithMandatoryButtons1131167,Field,0,DevExpress.ExpressApp.Win.Editors.DXPropertyEditor.RepositoryItemsTypesWithMandatoryButtons
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/DXPropertyEditor/SvgImageSize,SvgImageSize,Field,0,DevExpress.ExpressApp.Win.Editors.DXPropertyEditor.SvgImageSize
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/GridListEditor/DefaultCanShowReadOnlyEditor1177097,DefaultCanShowReadOnlyEditor1177097,Field,0,DevExpress.ExpressApp.Win.Editors.GridListEditor.DefaultCanShowReadOnlyEditor
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/GridListEditor/DefaultNewItemRowHandlingMode1151615,DefaultNewItemRowHandlingMode1151615,Field,0,DevExpress.ExpressApp.Win.Editors.GridListEditor.DefaultNewItemRowHandlingMode
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/GridListEditor/ImmediatePostDataSupportEnabled1163716,ImmediatePostDataSupportEnabled1163716,Field,0,DevExpress.ExpressApp.Win.Editors.GridListEditor.ImmediatePostDataSupportEnabled
