section_id,doc_id,api_id,api_name,api_type,namespace
IEmptyCheckable::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IEmptyCheckable/IEmptyCheckable,DevExpress.Persistent.Validation.RuleRequiredFieldAttribute,RuleRequiredFieldAttribute,class,DevExpress.Persistent.Validation
IsEmpty1134293::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IEmptyCheckable/IsEmpty1134293,DevExpress.Persistent.Validation.IEmptyCheckable.IsEmpty,IsEmpty,property,DevExpress.Persistent.Validation.IEmptyCheckable
IsEmpty1134293::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IEmptyCheckable/IsEmpty1134293,DevExpress.Persistent.Validation.RuleRequiredFieldAttribute,RuleRequiredFieldAttribute,class,DevExpress.Persistent.Validation
IModelValidationDefaultErrorMessageTemplates::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IModelValidationDefaultErrorMessageTemplates/IModelValidationDefaultErrorMessageTemplates,DevExpress.Persistent.Validation.IModelValidationDefaultErrorMessageTemplates._membersaltText,_membersaltText,class,DevExpress.Persistent.Validation.IModelValidationDefaultErrorMessageTemplates
IModelValidationDefaultErrorMessageTemplates::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IModelValidationDefaultErrorMessageTemplates/IModelValidationDefaultErrorMessageTemplates,DevExpress.Persistent.Validation.IModelValidationDefaultErrorMessageTemplates,IModelValidationDefaultErrorMessageTemplates,interface,DevExpress.Persistent.Validation
Id1132639::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRule/Id1132639,DevExpress.Persistent.Validation.IRule.Id,Id,property,DevExpress.Persistent.Validation.IRule
IRule::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRule/IRule,DevExpress.Persistent.Validation.IRule._membersaltText,_membersaltText,class,DevExpress.Persistent.Validation.IRule
IRule::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRule/IRule,DevExpress.Persistent.Validation.IRule,IRule,interface,DevExpress.Persistent.Validation
Properties1132640::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRule/Properties1132640,DevExpress.Persistent.Validation.IRule.Properties,Properties,property,DevExpress.Persistent.Validation.IRule
Properties1132640::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRule/Properties1132640,DevExpress.Persistent.Validation.IRuleBaseProperties,IRuleBaseProperties,interface,DevExpress.Persistent.Validation
