doc_id,section_id,is_api,platforms,connections,concepts
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::2,False,[],30,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::3,False,[],4,['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions']
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::4,False,[],6,['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions']
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::5,False,[],10,"['Built-in Criteria Operators' 'Conditional Appearance' 'Criteria'
 'Custom Criteria Functions' 'List View' 'Permission Policies'
 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::6,False,[],23,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service' 'XAF Application']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::7,False,[],18,['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions']
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::8,False,[],26,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::9,False,[],23,"['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions'
 'Demo Applications']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::10,False,[],25,"['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions'
 'XPO']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::11,False,[],14,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::12,False,[],26,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::13,False,[],18,['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions']
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::14,False,[],16,['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions']
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::15,False,[],25,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::16,False,[],20,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::17,False,[],24,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service' 'WinForms']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::18,False,[],14,"['Blazor' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Web API Service' 'WinForms']"
data/raw_md/articles/filtering/in-list-view/custom-function-criteria-operators,custom-function-criteria-operators::19,False,[],9,['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions']
data/raw_md/articles/filtering/in-list-view/filters-application-model-node,filters-application-model-node::2,False,[],17,"['Action Containers' 'Actions' 'Application Model' 'Application Templates'
 'Criteria' 'List View' 'Model Editor' 'View Types' 'Views' 'Windows']"
data/raw_md/articles/filtering/in-list-view/filters-application-model-node,filters-application-model-node::3,False,[],22,['Application Model' 'Context Menus' 'Criteria' 'Model Editor']
data/raw_md/articles/filtering/in-list-view/filters-application-model-node,filters-application-model-node::5,False,[],23,['Application Model' 'Criteria']
data/raw_md/articles/filtering/in-list-view/function-criteria-operators,function-criteria-operators::1,False,[],12,['Built-in Criteria Operators' 'Criteria']
data/raw_md/articles/filtering/in-list-view/function-criteria-operators,function-criteria-operators::2,False,[],10,"['Application Model' 'Built-in Criteria Operators' 'Criteria'
 'Custom Criteria Functions' 'Property Editors' 'Reference Property']"
data/raw_md/articles/filtering/in-list-view/function-criteria-operators,function-criteria-operators::3,False,[],28,"['Built-in Criteria Operators' 'Criteria' 'Custom Criteria Functions'
 'Property Editor Types' 'Property Editors' 'Specialized Property Editors'
 'Tenant' 'WinForms']"
data/raw_md/articles/filtering/in-list-view/function-criteria-operators,function-criteria-operators::4,False,[],4,"['Built-in Criteria Operators' 'Criteria' 'List View' 'View Types' 'Views'
 'XPO']"
data/raw_md/articles/filtering/in-list-view/how-to-filter-a-link-dialogs-list-view,how-to-filter-a-link-dialogs-list-view::12,False,[],23,"['.NET Runtime' 'Blazor' 'Business Logic' 'Criteria' 'Detail View'
 'List View' 'View Types' 'Views' 'WinForms' 'Windows' 'XPO']"
