uid,title,path,article_type,word_count,num_actual_useful_apis,num_high_priority,num_medium_priority,realistic_score,base_score,ticket_weight,primary_ticket_category,ticket_count,has_code_blocks
113683,List View Data Access Modes,data\raw_md\articles\ui-construction\views\list-view-data-access-modes.md,general,582,5,0,2,26.50931772678269,15.0,1.7672878484521792,Built-in View Items & Editors,765,False
112997,FullTextSearch Action,data\raw_md\articles\filtering\in-list-view\full-text-search-action.md,general,204,5,0,2,26.50931772678269,15.0,1.7672878484521792,Built-in View Items & Editors,765,False
113544,BLOB Image Properties,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\blob-image-properties.md,general,346,5,0,2,26.50931772678269,15.0,1.7672878484521792,Built-in View Items & Editors,765,False
113549,File Attachment Properties in XPO,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\file-attachment-properties\file-attachment-properties-in-xpo.md,general,336,5,0,2,26.50931772678269,15.0,1.7672878484521792,Built-in View Items & Editors,765,True
,Lookup List View,data\raw_md\articles\ui-construction\controllers-and-actions\actions\access-actions-in-different-ui-areas\lookup-list-view.md,general,53,5,0,2,26.50931772678269,15.0,1.7672878484521792,Built-in View Items & Editors,765,False
402971,Generate EF Core Business Classes from an Existing Database for .NET Blazor and WinForms Applications (Database First),data\raw_md\articles\business-model-design-orm\business-model-design-with-entity-framework-core\generate-ef-core-business-classes-from-an-existing-database-for-blazor-and-winforms.md,general,449,5,3,1,26.42846141999076,40.0,0.660711535499769,Built-in Action Types,286,True
113687,How to: Use Notifications with the Scheduler Event,data\raw_md\articles\event-planning-and-notifications\how-to-use-notifications-with-the-scheduler-event.md,how_to,247,3,0,2,26.09810565224087,13.0,2.007546588633913,Custom View Items & Editors,869,False
403535,Application Model: Built-in Interfaces,data\raw_md\articles\ui-construction\application-model-ui-settings-storage\how-application-model-works\application-model-interfaces.md,general,234,3,0,2,26.09810565224087,13.0,2.007546588633913,Custom View Items & Editors,869,False
112559,Plug-in MVC Architecture,data\raw_md\articles\overview\architecture.md,conceptual,1152,3,0,2,26.09810565224087,13.0,2.007546588633913,Custom View Items & Editors,869,True
113156,Change an Application Logo and About Information,data\raw_md\articles\app-shell-and-base-infrastructure\application-personalization\change-an-application-logo-and-info.md,general,438,3,1,0,26.09810565224087,13.0,2.007546588633913,Custom View Items & Editors,869,True
405376,Use EF Core Migrations to Update the Database Schema in Multi-Tenant Applications,data\raw_md\articles\multitenancy\ef-core-migrations-in-multi-tenant-application.md,general,490,6,2,0,26.0,26.0,1.0,,0,True
402149,Database Performance,data\raw_md\articles\debugging-testing-and-error-handling\performance\database-performance.md,general,794,5,1,2,25.931772678268906,25.0,1.0372709071307562,Built-in Permissions Setup/Troubleshooting,449,True
