source_doc,source_section,source_is_api,source_concepts,target_doc,target_section,target_is_api,target_concepts,similarity,priority_score,is_cross_corpus,max_tickets
data/raw_md/apidoc/DevExpress.ExpressApp.Security/IntermediateObjectAttribute/IntermediateObjectAttribute,IntermediateObjectAttribute::3,True,['Business Logic' 'XPO'],data/raw_md/articles/business-model-design-orm/business-model-design-with-xpo/relationships-between-persistent-objects-in-code-and-ui,relationships-between-persistent-objects-in-code-and-ui::9,False,['Business Logic' 'Business Objects' 'Object Relationships' 'XPO'],0.8527372479438782,2.5582117438316345,True,473
data/raw_md/articles/business-model-design-orm/business-model-design-with-xpo/relationships-between-persistent-objects-in-code-and-ui,relationships-between-persistent-objects-in-code-and-ui::9,False,['Business Logic' 'Business Objects' 'Object Relationships' 'XPO'],data/raw_md/apidoc/DevExpress.ExpressApp.Security/IntermediateObjectAttribute/IntermediateObjectAttribute,IntermediateObjectAttribute::3,True,['Business Logic' 'XPO'],0.8527372479438782,2.5582117438316345,True,473
data/raw_md/articles/app-shell-and-base-infrastructure/application-personalization/customize-a-window-caption,customize-a-window-caption::4,False,['WinForms' 'Windows'],data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/CustomizeWindowCaptionEventArgs/CustomizeWindowCaptionEventArgs,CustomizeWindowCaptionEventArgs::1,True,['Controller Types' 'Controllers' 'Window Controller'],0.847912609577179,2.543737828731537,True,1144
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/CustomizeWindowCaptionEventArgs/CustomizeWindowCaptionEventArgs,CustomizeWindowCaptionEventArgs::1,True,['Controller Types' 'Controllers' 'Window Controller'],data/raw_md/articles/app-shell-and-base-infrastructure/application-personalization/customize-a-window-caption,customize-a-window-caption::4,False,['WinForms' 'Windows'],0.847912609577179,2.543737828731537,True,1144
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-execute-custom-code-when-a-report-is-persisted,how-to-execute-custom-code-when-a-report-is-persisted::5,False,['ApplicationBuilder' 'Entity Framework Core' 'Web API Service' 'WinForms'],data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/ReportsStorage/ReportsStorage,ReportsStorage::1,True,"['Dependency Injection' 'Entity Framework Core' 'Reports' 'Reports V2'
 'Web API Service' 'WinForms' 'XAF Application']",0.847506046295166,2.542518138885498,True,470
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/ReportsStorage/ReportsStorage,ReportsStorage::1,True,"['Dependency Injection' 'Entity Framework Core' 'Reports' 'Reports V2'
 'Web API Service' 'WinForms' 'XAF Application']",data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-execute-custom-code-when-a-report-is-persisted,how-to-execute-custom-code-when-a-report-is-persisted::5,False,['ApplicationBuilder' 'Entity Framework Core' 'Web API Service' 'WinForms'],0.847506046295166,2.542518138885498,True,470
data/raw_md/apidoc/DevExpress.Persistent.Base/FileAttachmentAttribute/FileAttachmentAttribute,FileAttachmentAttribute::2,True,['Entity Framework Core'],data/raw_md/articles/document-management/file-attachments-module,file-attachments-module::10,False,['File Attachments'],0.845867395401001,2.537602186203003,True,470
data/raw_md/articles/document-management/file-attachments-module,file-attachments-module::10,False,['File Attachments'],data/raw_md/apidoc/DevExpress.Persistent.Base/FileAttachmentAttribute/FileAttachmentAttribute,FileAttachmentAttribute::2,True,['Entity Framework Core'],0.845867395401001,2.537602186203003,True,470
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-winforms-report-designer,how-to-use-the-custom-winforms-report-designer::1,False,['Controller Types' 'Controllers' 'Reports' 'View Controller' 'WinForms'],data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Win/WinReportServiceController/CreateCustomDesignForm1137481,CreateCustomDesignForm1137481::1,True,['Reports' 'WinForms'],0.8447728157043457,2.534318447113037,True,1144
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Win/WinReportServiceController/CreateCustomDesignForm1137481,CreateCustomDesignForm1137481::1,True,['Reports' 'WinForms'],data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-winforms-report-designer,how-to-use-the-custom-winforms-report-designer::1,False,['Controller Types' 'Controllers' 'Reports' 'View Controller' 'WinForms'],0.8447728157043457,2.534318447113037,True,1144
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ExportController/CustomGetDefaultFileName1136177,CustomGetDefaultFileName1136177::1,True,['Action State Management' 'Actions' 'List View' 'View Types' 'Views'],data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::5,False,['Action State Management' 'Actions'],0.8428919911384583,2.5286759734153748,True,2772
data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::5,False,['Action State Management' 'Actions'],data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ExportController/CustomGetDefaultFileName1136177,CustomGetDefaultFileName1136177::1,True,['Action State Management' 'Actions' 'List View' 'View Types' 'Views'],0.8428919911384583,2.5286759734153748,True,2772
