doc_id,keywords,keyword_count,has_deployment_tag,current_concepts,namespaces,apis
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithCustomTenantType``1,applicationbuilder,1,False,"Actions, Tenant, XPO",,"DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithCustomTenantType, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription, Xpo"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithMultiTenancyModelDifferenceStore,applicationbuilder,1,False,"Actions, Application Model, Tenant, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.ModelDifferencesOptions, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithMultiTenancyModelDifferenceStore, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithMultiTenancyModelDifferenceStore``1,applicationbuilder,1,False,"Actions, Application Model, Tenant, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.ModelDifferencesOptions, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithMultiTenancyModelDifferenceStore, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithSharedBusinessObjects,applicationbuilder,1,False,"Actions, Business Objects, Tenant, XPO",,"DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithSharedBusinessObjects, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription, Xpo"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithSharedBusinessObjects,applicationbuilder,1,False,"Business Objects, Tenant",,
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.Xpo/IMultiTenancyApplicationBuilder/WithTenantResolver``1,applicationbuilder,1,False,"Authentication, Tenant, XPO",,"DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilder.WithTenantResolver, Xpo"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithCustomTenantType``1,applicationbuilder,1,False,"Actions, Tenant",,"DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilder.WithCustomTenantType, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription, EFCore"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithHostDbContext,applicationbuilder,1,False,"Actions, Tenant",,"DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilder.WithHostDbContext, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription, EFCore"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithHostDbContext``1,applicationbuilder,1,False,"Actions, Tenant",,"DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilder.WithHostDbContext, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription, EFCore"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithMultiTenancyModelDifferenceStore,applicationbuilder,1,False,"Actions, Application Model, Tenant",,"DevExpress.ExpressApp.ApplicationBuilder.ModelDifferencesOptions, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilder.WithMultiTenancyModelDifferenceStore, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithMultiTenancyModelDifferenceStore``1,applicationbuilder,1,False,"Actions, Application Model, Tenant",,"DevExpress.ExpressApp.ApplicationBuilder.ModelDifferencesOptions, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilder.WithMultiTenancyModelDifferenceStore, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithSharedBusinessObjects,applicationbuilder,1,False,"Actions, Business Objects, Tenant",,"DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilder.WithSharedBusinessObjects, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription, EFCore"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithSharedBusinessObjects,applicationbuilder,1,False,"Business Objects, Tenant",,
